Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,20.2,2947.566,35.375
1,15.3,2450.488,35.375
2,14.0,3303.864,35.375
3,15.8,3301.808,35.375
4,26.0,3319.428,35.375
5,27.0,3241.266,35.375
6,15.7,3309.565,35.375
7,13.7,2207.823,35.375
8,15.0,3299.803,35.375
9,14.9,3304.615,35.375
10,12.9,3311.379,35.375
11,15.2,3294.251,35.375
12,14.9,2372.629,35.375
13,12.9,3313.31,35.375
14,15.0,1484.174,35.375
15,15.8,2531.753,35.375
16,47.0,1470.231,35.375
17,17.2,3305.397,35.375
18,19.8,1466.665,35.375
19,89.1,3294.82,35.375
20,16.8,3309.475,35.375
21,19.0,3314.46,35.375
22,18.2,1504.837,35.375
23,17.0,1502.216,35.375
24,63.0,3290.364,35.375
25,14.0,3306.717,35.375
26,27.3,3303.656,35.375
27,44.0,3302.751,35.375
28,17.2,2384.738,35.375
29,17.2,3299.138,35.375
30,17.0,3304.676,35.375
31,12.9,3297.275,35.375
32,14.9,1957.145,35.375
33,14.9,3298.681,35.375
34,13.0,3292.774,35.375
35,14.9,2400.061,35.375
36,14.9,3300.409,35.375
37,22.0,3300.005,35.375
38,15.7,2527.713,35.375
39,16.8,1987.007,35.375
40,16.7,3298.55,35.375
41,15.8,3298.656,35.375
42,18.0,3300.386,35.375
43,16.0,3299.69,35.375
44,15.7,3291.802,35.375
45,16.8,3306.244,35.375
46,15.0,1465.027,35.375
47,32.0,3296.848,35.375
48,16.0,1462.44,35.375
49,20.0,3296.401,35.375
50,19.8,1466.486,35.375
51,12.2,3300.01,35.375
52,17.0,3293.605,35.375
53,14.9,3298.288,35.375
54,19.0,1496.698,35.375
55,23.0,1499.131,35.375
56,13.0,3299.545,35.375
57,18.0,3297.064,35.375
58,16.2,3308.394,35.375
59,17.0,3295.213,35.375
60,17.0,3293.918,35.375
61,17.0,3297.283,35.375
62,17.0,3303.339,35.375
63,16.0,3297.219,35.375
