Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,24.0,3299.415,34.5
1,17.2,3201.821,34.5
2,20.8,3308.819,34.5
3,20.0,3200.206,34.5
4,19.8,3298.777,34.5
5,18.0,2744.265,34.5
6,19.8,3298.112,34.5
7,19.2,2760.952,34.5
8,17.0,3306.618,34.5
9,19.8,3299.123,34.5
10,20.0,3298.445,34.5
11,18.8,3299.782,34.5
12,72.0,3300.789,34.5
13,31.7,3229.056,34.5
14,22.0,2721.59,34.5
15,20.6,3299.202,34.5
16,31.0,3270.073,34.5
17,19.6,1679.864,34.5
18,26.5,2199.924,34.5
19,22.0,2765.14,34.5
20,86.3,3299.772,34.5
21,30.7,3299.586,34.5
22,10.1,2789.109,34.5
23,22.0,3293.703,34.5
24,24.2,3298.109,34.5
25,24.0,3282.892,34.5
26,15.0,3300.091,34.5
27,22.0,3300.069,34.5
28,52.0,3246.704,34.5
29,17.0,3299.778,34.5
30,22.3,3304.432,34.5
31,18.8,2824.585,34.5
32,18.8,3297.638,34.5
33,18.6,3290.83,34.5
34,20.6,3299.207,34.5
35,17.8,3286.519,34.5
36,19.8,3291.567,34.5
37,16.8,3301.509,34.5
38,20.6,3300.192,34.5
39,16.8,3284.522,34.5
40,24.0,2757.421,34.5
41,19.0,3292.057,34.5
42,19.8,3293.156,34.5
43,22.8,2795.124,34.5
44,19.8,3285.387,34.5
45,29.4,3300.161,34.5
46,17.0,3294.353,34.5
47,19.8,3299.754,34.5
48,22.0,3176.217,34.5
49,18.4,3306.316,34.5
50,20.0,2250.515,34.5
51,22.0,2773.863,34.5
52,14.0,3299.767,34.5
53,29.0,3238.674,34.5
54,18.8,2801.977,34.5
55,23.2,3299.766,34.5
56,15.8,2802.27,34.5
57,21.8,3294.888,34.5
58,20.0,3300.077,34.5
59,21.8,3300.082,34.5
60,19.2,3300.069,34.5
61,22.0,3299.771,34.5
62,19.2,2832.077,34.5
63,54.0,3291.547,34.5
