Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,10.1,3127.175,36.0
1,11.0,2081.208,36.0
2,0.0,2423.071,36.0
3,10.0,3297.697,36.0
4,0.0,2535.563,36.0
5,11.0,3297.025,36.0
6,0.0,3248.699,36.0
7,10.0,3299.268,36.0
8,0.0,2337.59,36.0
9,10.1,3298.702,36.0
10,11.0,3297.206,36.0
11,10.0,3299.243,36.0
12,0.0,3033.23,36.0
13,10.9,3300.075,36.0
14,10.1,3300.098,36.0
15,10.9,3300.083,36.0
16,10.9,3284.88,36.0
17,0.0,1463.587,36.0
18,11.0,2366.642,36.0
19,1.0,1371.242,36.0
20,7.0,3302.286,36.0
21,4.0,3288.349,36.0
22,5.0,1497.941,36.0
23,0.0,1498.258,36.0
24,8.0,3245.15,36.0
25,11.0,3284.018,36.0
26,0.0,1466.533,36.0
27,10.9,3300.134,36.0
28,0.0,1406.416,36.0
29,10.0,2375.286,36.0
30,5.9,3300.088,36.0
31,0.0,1466.233,36.0
32,10.1,3300.068,36.0
33,0.0,3127.834,36.0
34,10.9,3300.054,36.0
35,10.1,3300.081,36.0
36,10.0,3300.076,36.0
37,10.1,3300.064,36.0
38,11.0,3300.084,36.0
39,80.2,3232.925,36.0
40,10.0,3300.071,36.0
41,10.1,3299.313,36.0
42,0.0,1770.898,36.0
43,10.0,3300.065,36.0
44,10.9,3300.084,36.0
45,10.1,3300.097,36.0
46,11.0,3300.083,36.0
47,10.1,3300.059,36.0
48,0.0,3299.824,36.0
49,0.0,1464.479,36.0
50,1.0,2399.335,36.0
51,0.0,1370.091,36.0
52,19.2,3241.999,36.0
53,0.0,3293.674,36.0
54,1.0,1499.262,36.0
55,44.6,1499.319,36.0
56,0.0,3305.289,36.0
57,0.0,3278.339,36.0
58,0.0,1464.899,36.0
59,0.0,3300.343,36.0
60,0.0,1478.305,36.0
61,0.0,2786.772,36.0
62,47.0,3291.117,36.0
63,0.0,1466.491,36.0
