Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,39.4,1798.147,34.8125
1,0.0,2231.91,34.8125
2,39.0,2086.404,34.8125
3,38.6,2834.847,34.8125
4,39.0,1934.506,34.8125
5,39.0,2533.733,34.8125
6,39.0,1999.145,34.8125
7,22.2,1985.782,34.8125
8,0.0,3159.471,34.8125
9,39.6,2772.184,34.8125
10,0.0,2299.576,34.8125
11,40.0,1893.62,34.8125
12,40.0,1846.702,34.8125
13,12.0,3300.869,34.8125
14,1.0,3299.637,34.8125
15,40.0,1835.96,34.8125
16,30.0,1370.634,34.8125
17,40.0,2409.957,34.8125
18,0.0,1499.93,34.8125
19,39.0,1499.973,34.8125
20,0.0,1478.887,34.8125
21,40.0,2592.561,34.8125
22,39.0,1984.271,34.8125
23,0.0,1479.559,34.8125
24,0.0,1466.04,34.8125
25,84.0,3284.721,34.8125
26,1.0,1466.124,34.8125
27,39.4,3293.979,34.8125
28,35.0,1619.318,34.8125
29,61.0,3123.966,34.8125
30,40.0,1496.049,34.8125
31,10.9,1499.491,34.8125
32,38.4,1799.674,34.8125
33,39.4,3195.556,34.8125
34,39.0,3198.899,34.8125
35,18.0,1813.923,34.8125
36,0.0,1818.088,34.8125
37,39.6,1859.798,34.8125
38,3.0,1929.089,34.8125
39,38.0,1884.834,34.8125
40,39.0,3297.958,34.8125
41,39.6,2817.541,34.8125
42,39.6,2853.154,34.8125
43,40.0,1841.298,34.8125
44,39.4,1823.008,34.8125
45,39.0,3297.696,34.8125
46,39.0,3301.114,34.8125
47,39.0,2130.651,34.8125
48,0.0,1371.014,34.8125
49,0.0,2401.732,34.8125
50,0.0,1498.089,34.8125
51,1.0,1500.034,34.8125
52,0.0,1479.327,34.8125
53,0.0,2287.015,34.8125
54,0.0,2201.293,34.8125
55,0.0,1478.807,34.8125
56,1.0,1465.906,34.8125
57,1.0,3292.578,34.8125
58,0.0,1463.871,34.8125
59,1.0,3297.086,34.8125
60,0.0,1618.242,34.8125
61,0.0,2710.585,34.8125
62,0.0,1496.992,34.8125
63,0.0,1494.775,34.8125
