Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,9.9,2746.047,35.8125
1,12.9,2315.046,35.8125
2,5.0,3298.626,35.8125
3,15.0,2206.823,35.8125
4,17.0,2280.19,35.8125
5,18.0,2302.697,35.8125
6,12.0,2323.358,35.8125
7,16.0,1655.683,35.8125
8,58.0,3300.077,35.8125
9,17.6,3296.636,35.8125
10,17.2,3247.73,35.8125
11,12.1,2073.217,35.8125
12,15.2,3259.93,35.8125
13,16.8,2878.31,35.8125
14,18.8,2067.574,35.8125
15,85.1,3295.089,35.8125
16,18.2,3232.685,35.8125
17,17.0,3287.584,35.8125
18,11.2,3299.773,35.8125
19,21.8,3303.192,35.8125
20,20.8,2492.275,35.8125
21,20.2,3295.149,35.8125
22,9.0,3308.531,35.8125
23,22.8,3310.505,35.8125
24,86.0,3290.391,35.8125
25,12.9,3303.705,35.8125
26,18.8,2200.005,35.8125
27,13.9,1921.221,35.8125
28,14.0,3303.705,35.8125
29,13.9,2162.522,35.8125
30,54.5,3303.328,35.8125
31,9.0,3298.77,35.8125
32,13.9,1870.667,35.8125
33,13.9,3302.63,35.8125
34,17.0,3302.632,35.8125
35,12.0,3299.611,35.8125
36,13.0,3301.318,35.8125
37,11.0,3298.015,35.8125
38,14.9,3298.091,35.8125
39,14.0,1647.672,35.8125
40,35.0,3260.845,35.8125
41,26.5,3299.087,35.8125
42,15.0,3299.045,35.8125
43,12.9,3306.548,35.8125
44,15.0,3300.053,35.8125
45,56.4,3299.649,35.8125
46,14.0,3299.793,35.8125
47,15.7,3289.619,35.8125
48,16.0,3047.412,35.8125
49,10.1,2784.42,35.8125
50,15.0,3299.866,35.8125
51,20.8,3296.412,35.8125
52,16.2,1847.51,35.8125
53,15.2,3285.433,35.8125
54,13.0,3296.787,35.8125
55,46.5,3289.715,35.8125
56,13.7,3304.666,35.8125
57,13.9,3300.38,35.8125
58,14.9,1783.698,35.8125
59,15.0,3299.492,35.8125
60,15.8,3291.269,35.8125
61,16.8,3293.816,35.8125
62,26.7,3301.818,35.8125
63,36.6,3293.089,35.8125
