Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,18.8,1733.433,34.4375
1,18.0,2285.516,34.4375
2,32.0,2833.476,34.4375
3,28.3,1467.036,34.4375
4,21.8,2295.642,34.4375
5,17.2,2285.534,34.4375
6,24.0,2205.398,34.4375
7,19.8,1480.337,34.4375
8,14.0,3308.2,34.4375
9,16.0,2659.502,34.4375
10,18.0,3302.045,34.4375
11,23.0,3015.815,34.4375
12,21.2,3244.215,34.4375
13,24.0,3296.142,34.4375
14,19.0,1455.605,34.4375
15,12.9,2297.3,34.4375
16,19.0,2267.816,34.4375
17,7.1,3291.357,34.4375
18,16.0,3253.709,34.4375
19,18.6,2972.281,34.4375
20,16.0,2413.985,34.4375
21,17.2,2950.613,34.4375
22,17.8,2964.324,34.4375
23,16.2,3250.16,34.4375
24,17.0,2093.157,34.4375
25,58.0,2279.606,34.4375
26,16.2,2312.674,34.4375
27,17.8,2316.753,34.4375
28,21.2,2219.944,34.4375
29,98.0,3268.462,34.4375
30,16.0,2365.446,34.4375
31,18.8,2438.607,34.4375
32,16.8,1397.09,34.4375
33,17.2,2287.294,34.4375
34,63.6,2298.659,34.4375
35,20.0,1466.503,34.4375
36,16.8,2819.985,34.4375
37,17.0,2771.866,34.4375
38,17.0,2205.063,34.4375
39,17.8,1478.565,34.4375
40,17.3,3294.727,34.4375
41,14.1,2155.463,34.4375
42,16.8,2925.6,34.4375
43,16.2,3293.206,34.4375
44,17.8,3304.047,34.4375
45,17.2,3254.463,34.4375
46,4.0,1455.005,34.4375
47,87.0,2298.205,34.4375
48,16.5,2189.301,34.4375
49,23.8,3290.481,34.4375
50,22.2,2265.335,34.4375
51,18.8,2986.369,34.4375
52,14.0,1600.202,34.4375
53,15.0,3020.655,34.4375
54,14.1,2998.339,34.4375
55,49.5,3266.545,34.4375
56,17.2,2185.571,34.4375
57,18.0,2360.009,34.4375
58,21.2,2721.319,34.4375
59,18.0,2346.653,34.4375
60,14.1,2170.21,34.4375
61,15.8,3300.072,34.4375
62,19.0,2398.565,34.4375
63,15.0,2352.637,34.4375
