Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,27.3,3292.968,34.5
1,24.0,1466.656,34.5
2,22.0,3300.56,34.5
3,28.0,3297.539,34.5
4,24.0,3299.59,34.5
5,29.0,3299.886,34.5
6,25.3,2811.669,34.5
7,14.1,1607.386,34.5
8,29.7,2803.428,34.5
9,27.3,2793.823,34.5
10,44.6,3299.738,34.5
11,20.4,3297.748,34.5
12,29.3,3307.16,34.5
13,27.3,3297.538,34.5
14,30.0,3296.964,34.5
15,22.2,3297.536,34.5
16,22.4,1685.884,34.5
17,22.2,2100.443,34.5
18,79.0,3296.661,34.5
19,19.4,3299.749,34.5
20,13.1,1655.278,34.5
21,35.6,2336.786,34.5
22,52.5,2544.01,34.5
23,43.6,3296.443,34.5
24,32.7,3297.571,34.5
25,26.7,1680.907,34.5
26,30.7,3297.697,34.5
27,53.0,3297.695,34.5
28,55.0,3292.756,34.5
29,24.0,3292.623,34.5
30,31.3,3297.695,34.5
31,23.2,2206.242,34.5
32,38.2,3292.078,34.5
33,24.0,1467.266,34.5
34,47.0,3297.688,34.5
35,26.7,3288.798,34.5
36,17.2,3301.689,34.5
37,24.8,3299.886,34.5
38,23.2,3299.413,34.5
39,24.2,2276.927,34.5
40,22.2,2429.285,34.5
41,25.0,2794.351,34.5
42,22.0,3300.046,34.5
43,33.0,3290.115,34.5
44,20.2,3297.544,34.5
45,21.0,3304.432,34.5
46,48.5,3295.427,34.5
47,22.0,3299.931,34.5
48,26.0,1785.027,34.5
49,27.0,1784.722,34.5
50,20.8,3295.346,34.5
51,25.3,3302.769,34.5
52,19.0,2691.793,34.5
53,51.5,2502.815,34.5
54,13.9,2859.89,34.5
55,23.0,3299.707,34.5
56,18.0,3297.564,34.5
57,25.7,1684.099,34.5
58,27.0,3300.038,34.5
59,26.0,3299.805,34.5
60,22.2,3292.712,34.5
61,24.2,3299.742,34.5
62,45.0,3310.173,34.5
63,18.0,2196.571,34.5
