Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,13.0,2208.88,34.875
1,18.0,3173.169,34.875
2,15.8,3297.409,34.875
3,10.9,3297.232,34.875
4,13.1,3291.684,34.875
5,12.9,3299.022,34.875
6,20.2,3294.357,34.875
7,13.1,3300.2,34.875
8,16.8,3299.087,34.875
9,14.0,3190.795,34.875
10,19.2,3166.566,34.875
11,16.0,3294.406,34.875
12,18.2,3300.084,34.875
13,67.0,3277.552,34.875
14,24.2,3297.243,34.875
15,80.0,3269.128,34.875
16,15.0,1475.016,34.875
17,18.0,3268.618,34.875
18,9.1,2167.349,34.875
19,68.7,3278.729,34.875
20,49.0,3278.47,34.875
21,16.2,3300.086,34.875
22,14.0,3299.754,34.875
23,14.0,3299.818,34.875
24,10.9,3291.965,34.875
25,16.0,3129.291,34.875
26,16.8,3316.651,34.875
27,12.1,3297.417,34.875
28,19.0,3300.089,34.875
29,13.9,3148.441,34.875
30,20.4,3291.401,34.875
31,20.2,3129.492,34.875
32,12.0,2192.893,34.875
33,18.8,3174.077,34.875
34,12.0,3290.803,34.875
35,16.2,3297.254,34.875
36,13.9,3303.142,34.875
37,18.0,3301.101,34.875
38,16.8,3294.289,34.875
39,13.9,3300.174,34.875
40,15.0,3181.363,34.875
41,15.8,3301.379,34.875
42,15.0,3167.511,34.875
43,11.9,3300.467,34.875
44,12.7,3303.142,34.875
45,40.0,3278.749,34.875
46,10.9,3297.265,34.875
47,12.9,3304.603,34.875
48,17.2,1466.102,34.875
49,16.8,3297.274,34.875
50,15.0,3198.272,34.875
51,15.0,3300.647,34.875
52,14.9,3296.325,34.875
53,14.9,3298.266,34.875
54,13.0,3298.013,34.875
55,62.0,3277.645,34.875
56,56.0,3283.992,34.875
57,18.2,3293.396,34.875
58,19.0,3297.284,34.875
59,46.0,3299.246,34.875
60,17.0,3288.688,34.875
61,37.0,3295.157,34.875
62,13.0,3291.561,34.875
63,11.0,3290.349,34.875
