Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,19.4,2722.949,35.25
1,18.2,2703.651,35.25
2,13.0,2611.465,35.25
3,13.1,2612.903,35.25
4,30.7,3155.698,35.25
5,21.6,2646.169,35.25
6,20.6,2943.973,35.25
7,20.0,2415.405,35.25
8,24.0,2604.606,35.25
9,12.2,2764.06,35.25
10,15.2,2709.13,35.25
11,13.1,2973.354,35.25
12,19.0,2972.906,35.25
13,22.8,2642.849,35.25
14,70.0,3065.759,35.25
15,42.2,3070.633,35.25
16,22.0,2351.28,35.25
17,26.3,2918.809,35.25
18,28.0,3064.876,35.25
19,18.0,3005.549,35.25
20,22.0,2740.214,35.25
21,15.0,2479.838,35.25
22,92.0,3189.867,35.25
23,20.0,2657.113,35.25
24,27.7,3109.834,35.25
25,21.0,2522.702,35.25
26,18.0,2334.798,35.25
27,47.5,3265.478,35.25
28,18.0,2646.323,35.25
29,16.2,2466.954,35.25
30,16.2,2656.752,35.25
31,16.0,2943.982,35.25
32,22.0,2580.499,35.25
33,60.6,3012.897,35.25
34,20.0,2687.169,35.25
35,19.2,2634.025,35.25
36,31.3,2970.216,35.25
37,18.0,2910.655,35.25
38,13.9,3137.226,35.25
39,15.0,2746.775,35.25
40,15.8,2629.955,35.25
41,15.8,2612.384,35.25
42,20.8,2595.924,35.25
43,21.0,2926.49,35.25
44,13.0,2669.508,35.25
45,20.8,2698.878,35.25
46,16.3,2805.815,35.25
47,18.0,2808.845,35.25
48,24.2,2361.154,35.25
49,22.2,2622.705,35.25
50,11.1,2765.87,35.25
51,81.0,3249.055,35.25
52,42.6,2845.575,35.25
53,19.0,2585.816,35.25
54,18.0,3084.997,35.25
55,21.2,2643.432,35.25
56,16.8,3158.189,35.25
57,18.0,2801.248,35.25
58,13.0,2432.681,35.25
59,20.0,2931.486,35.25
60,12.1,2590.717,35.25
61,7.1,2994.628,35.25
62,19.0,2698.824,35.25
63,14.0,3163.073,35.25
