Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,17.3,2805.124,34.5
1,12.1,2847.461,34.5
2,10.3,2672.152,34.5
3,19.4,2477.158,34.5
4,21.2,2830.32,34.5
5,12.2,2686.906,34.5
6,9.0,2735.392,34.5
7,19.0,2741.292,34.5
8,32.0,2567.838,34.5
9,9.1,2742.421,34.5
10,20.4,2733.412,34.5
11,11.0,2929.933,34.5
12,21.8,2657.609,34.5
13,10.1,2619.59,34.5
14,35.7,2998.287,34.5
15,27.0,2713.575,34.5
16,10.0,3023.141,34.5
17,37.0,2800.456,34.5
18,22.2,2497.11,34.5
19,39.4,3182.464,34.5
20,21.2,2918.983,34.5
21,56.1,3135.552,34.5
22,20.0,2719.269,34.5
23,10.0,2753.347,34.5
24,20.2,2730.331,34.5
25,46.0,2870.536,34.5
26,99.0,3231.018,34.5
27,10.9,2654.033,34.5
28,19.2,3112.955,34.5
29,7.1,2939.136,34.5
30,2.0,3240.915,34.5
31,19.4,2837.964,34.5
32,10.0,2472.724,34.5
33,11.1,2807.779,34.5
34,25.3,2514.006,34.5
35,23.5,2582.15,34.5
36,20.8,2732.563,34.5
37,19.4,2743.748,34.5
38,16.2,2789.438,34.5
39,11.9,2641.909,34.5
40,21.6,2467.575,34.5
41,17.5,2833.963,34.5
42,20.4,2970.879,34.5
43,17.5,2877.615,34.5
44,12.0,2778.664,34.5
45,17.3,2728.186,34.5
46,63.4,3064.999,34.5
47,24.0,2512.323,34.5
48,24.0,2531.835,34.5
49,18.6,2701.048,34.5
50,16.2,2564.933,34.5
51,19.2,2930.527,34.5
52,21.0,2888.954,34.5
53,11.0,2833.127,34.5
54,6.9,3151.782,34.5
55,19.0,2844.262,34.5
56,29.0,2680.49,34.5
57,14.1,2613.176,34.5
58,5.0,3212.58,34.5
59,24.8,2549.199,34.5
60,31.6,3161.605,34.5
61,27.2,2941.218,34.5
62,46.5,3259.201,34.5
63,10.9,2879.505,34.5
