Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,21.2,3291.968,34.0625
1,21.0,2295.334,34.0625
2,20.2,2150.045,34.0625
3,32.0,2295.383,34.0625
4,33.3,3295.966,34.0625
5,25.0,3285.399,34.0625
6,22.0,3298.064,34.0625
7,27.0,3300.667,34.0625
8,24.0,3295.64,34.0625
9,28.3,3289.002,34.0625
10,26.7,3236.476,34.0625
11,26.0,2956.762,34.0625
12,84.8,2379.32,34.0625
13,20.8,3294.948,34.0625
14,26.0,2342.629,34.0625
15,20.0,3306.434,34.0625
16,21.0,2004.25,34.0625
17,46.5,3269.605,34.0625
18,49.5,3300.065,34.0625
19,26.3,2254.46,34.0625
20,24.0,2492.484,34.0625
21,63.0,3274.638,34.0625
22,21.0,3116.846,34.0625
23,22.5,3294.356,34.0625
24,25.3,3273.867,34.0625
25,16.0,3257.856,34.0625
26,21.2,3298.735,34.0625
27,16.2,2469.404,34.0625
28,22.2,3295.473,34.0625
29,12.9,1464.412,34.0625
30,23.2,3304.846,34.0625
31,24.2,3301.112,34.0625
32,27.0,3306.849,34.0625
33,20.0,2376.515,34.0625
34,21.8,3298.217,34.0625
35,12.4,2357.955,34.0625
36,40.6,3300.961,34.0625
37,58.4,3296.585,34.0625
38,23.8,3299.662,34.0625
39,22.0,3292.691,34.0625
40,16.0,3294.64,34.0625
41,18.0,3299.343,34.0625
42,19.2,3127.836,34.0625
43,23.0,3300.001,34.0625
44,21.0,2405.311,34.0625
45,16.8,3292.554,34.0625
46,17.0,2412.306,34.0625
47,22.0,3295.552,34.0625
48,22.0,2023.106,34.0625
49,21.0,2327.933,34.0625
50,12.9,3299.789,34.0625
51,14.0,2397.139,34.0625
52,28.7,2427.969,34.0625
53,19.8,3299.912,34.0625
54,20.0,3295.932,34.0625
55,8.9,3268.533,34.0625
56,54.5,3289.202,34.0625
57,21.8,2728.553,34.0625
58,32.7,3271.342,34.0625
59,23.5,2431.048,34.0625
60,16.8,3296.647,34.0625
61,40.0,1466.499,34.0625
62,17.0,3300.402,34.0625
63,23.2,3290.287,34.0625
