Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,16.5,3294.698,35.0625
1,9.2,3295.172,35.0625
2,50.5,1466.235,35.0625
3,17.2,3180.241,35.0625
4,25.0,3294.481,35.0625
5,8.0,1430.195,35.0625
6,21.2,3190.76,35.0625
7,21.4,3295.053,35.0625
8,13.1,3295.054,35.0625
9,20.4,3190.258,35.0625
10,5.9,3312.822,35.0625
11,18.2,3297.548,35.0625
12,22.2,1941.131,35.0625
13,17.3,2025.085,35.0625
14,17.3,3295.254,35.0625
15,16.2,2018.293,35.0625
16,46.5,1499.72,35.0625
17,5.1,1499.708,35.0625
18,17.2,3214.447,35.0625
19,15.2,3293.229,35.0625
20,67.0,3293.089,35.0625
21,14.1,3293.265,35.0625
22,14.1,3289.293,35.0625
23,6.1,1466.447,35.0625
24,7.1,2067.279,35.0625
25,19.0,3137.68,35.0625
26,56.1,3294.739,35.0625
27,18.2,1979.623,35.0625
28,14.3,1986.797,35.0625
29,5.1,1712.558,35.0625
30,17.2,3153.872,35.0625
31,18.2,3192.688,35.0625
32,6.0,2205.867,35.0625
33,35.1,3258.303,35.0625
34,6.0,1466.625,35.0625
35,3.0,3292.197,35.0625
36,76.2,2806.077,35.0625
37,17.2,1464.838,35.0625
38,14.3,3289.395,35.0625
39,27.0,3253.36,35.0625
40,16.2,3155.927,35.0625
41,2.0,3242.027,35.0625
42,16.2,2064.804,35.0625
43,18.2,3138.861,35.0625
44,16.2,2470.274,35.0625
45,18.2,2064.427,35.0625
46,19.6,3204.517,35.0625
47,7.1,2167.015,35.0625
48,1.0,1498.048,35.0625
49,2.0,1473.627,35.0625
50,10.9,3269.384,35.0625
51,50.0,3295.181,35.0625
52,8.9,3294.687,35.0625
53,7.0,3298.244,35.0625
54,4.0,3298.578,35.0625
55,37.0,1466.631,35.0625
56,47.0,1885.739,35.0625
57,4.0,1491.909,35.0625
58,10.0,3294.471,35.0625
59,6.1,1468.556,35.0625
60,4.0,1482.565,35.0625
61,4.0,1829.298,35.0625
62,19.4,2379.816,35.0625
63,17.3,2482.395,35.0625
