Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,20.5,3296.481,37.625
1,7.9,3297.029,37.625
2,33.7,3293.19,37.625
3,5.0,3293.991,37.625
4,1.0,2728.242,37.625
5,14.3,1616.876,37.625
6,2.0,2197.155,37.625
7,38.6,3258.636,37.625
8,5.1,3296.643,37.625
9,5.9,3297.021,37.625
10,5.9,3299.226,37.625
11,5.9,3299.591,37.625
12,41.8,1796.744,37.625
13,0.0,1499.628,37.625
14,5.0,3299.389,37.625
15,6.0,3299.562,37.625
16,0.0,3299.477,37.625
17,7.0,3294.422,37.625
18,1.0,3300.723,37.625
19,5.0,3300.091,37.625
20,6.0,3293.938,37.625
21,6.1,3294.25,37.625
22,48.0,1465.279,37.625
23,7.0,3297.324,37.625
24,6.0,3297.147,37.625
25,44.4,1465.513,37.625
26,31.7,3294.809,37.625
27,5.9,3299.912,37.625
28,0.0,3305.084,37.625
29,0.0,3305.653,37.625
30,5.9,3297.176,37.625
31,0.0,3300.084,37.625
32,0.0,3309.311,37.625
33,1.0,3303.249,37.625
34,1.0,3299.952,37.625
35,0.0,2983.645,37.625
36,24.2,2400.19,37.625
37,0.0,1784.248,37.625
38,7.1,1540.334,37.625
39,4.0,3297.204,37.625
40,0.0,3294.797,37.625
41,0.0,3297.298,37.625
42,7.9,3299.734,37.625
43,0.0,3302.598,37.625
44,0.0,2007.302,37.625
45,0.0,1442.131,37.625
46,0.0,3304.047,37.625
47,1.0,3298.718,37.625
48,5.9,3294.1,37.625
49,0.0,3300.139,37.625
50,5.9,3299.903,37.625
51,43.0,3297.567,37.625
52,6.0,3294.344,37.625
53,1.0,3285.675,37.625
54,0.0,1464.154,37.625
55,0.0,3289.286,37.625
56,0.0,3303.004,37.625
57,0.0,1465.08,37.625
58,5.0,3300.083,37.625
59,32.0,3293.632,37.625
60,6.0,3297.045,37.625
61,5.0,3297.228,37.625
62,6.0,3297.099,37.625
63,4.0,3297.04,37.625
