Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,19.4,2608.955,34.9375
1,7.9,2838.914,34.9375
2,16.0,2918.383,34.9375
3,77.6,3214.193,34.9375
4,15.2,2725.579,34.9375
5,14.1,2793.771,34.9375
6,39.6,3009.868,34.9375
7,21.2,2905.136,34.9375
8,15.2,2854.139,34.9375
9,21.0,2644.866,34.9375
10,43.0,3086.478,34.9375
11,0.0,2688.947,34.9375
12,15.7,2949.323,34.9375
13,16.0,2828.021,34.9375
14,14.1,2931.607,34.9375
15,7.0,2845.401,34.9375
16,17.0,2998.483,34.9375
17,19.0,2395.403,34.9375
18,9.1,2441.244,34.9375
19,1.0,2691.897,34.9375
20,30.4,3256.992,34.9375
21,9.0,3011.377,34.9375
22,68.3,3123.922,34.9375
23,11.9,2982.953,34.9375
24,31.0,3132.381,34.9375
25,1.0,3260.388,34.9375
26,16.0,2691.505,34.9375
27,32.0,3264.242,34.9375
28,46.5,3154.257,34.9375
29,14.0,2575.881,34.9375
30,1.0,2675.972,34.9375
31,1.0,2897.846,34.9375
32,17.0,2507.192,34.9375
33,15.2,2926.466,34.9375
34,8.8,2881.026,34.9375
35,15.2,3096.926,34.9375
36,14.1,2989.038,34.9375
37,15.0,2910.588,34.9375
38,14.0,2907.169,34.9375
39,14.3,2742.856,34.9375
40,14.0,2817.292,34.9375
41,24.2,2921.067,34.9375
42,10.1,2932.675,34.9375
43,0.0,2688.572,34.9375
44,9.9,2920.448,34.9375
45,15.2,2862.133,34.9375
46,0.0,3183.339,34.9375
47,0.0,3099.855,34.9375
48,1.0,3188.408,34.9375
49,1.0,2769.074,34.9375
50,0.0,2539.942,34.9375
51,15.0,2612.882,34.9375
52,49.5,3290.61,34.9375
53,14.1,2737.157,34.9375
54,14.0,2793.053,34.9375
55,8.0,3102.503,34.9375
56,13.0,3169.563,34.9375
57,26.7,3261.174,34.9375
58,1.0,3067.761,34.9375
59,1.0,2999.592,34.9375
60,2.0,3271.862,34.9375
61,1.0,3077.867,34.9375
62,15.8,2593.753,34.9375
63,12.0,3129.551,34.9375
