Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,18.2,2200.142,34.75
1,17.2,3308.673,34.75
2,16.8,3302.904,34.75
3,17.2,3307.869,34.75
4,17.0,3302.52,34.75
5,17.0,3297.615,34.75
6,14.9,3307.068,34.75
7,9.0,3312.206,34.75
8,14.9,1497.299,34.75
9,48.5,1794.036,34.75
10,12.0,2321.151,34.75
11,17.8,3305.452,34.75
12,17.0,3310.355,34.75
13,16.2,3243.208,34.75
14,61.0,3251.218,34.75
15,35.6,3301.094,34.75
16,25.3,3299.817,34.75
17,9.9,3300.048,34.75
18,30.0,3302.546,34.75
19,13.9,3308.553,34.75
20,7.9,3235.377,34.75
21,15.2,3299.207,34.75
22,16.0,2989.796,34.75
23,9.0,3283.537,34.75
24,17.8,3306.981,34.75
25,17.0,3319.248,34.75
26,77.8,3260.03,34.75
27,17.0,3230.216,34.75
28,44.6,3304.554,34.75
29,10.9,1646.752,34.75
30,10.9,3300.04,34.75
31,16.0,3314.518,34.75
32,8.0,2200.31,34.75
33,18.0,3291.072,34.75
34,15.0,3299.864,34.75
35,17.0,3296.751,34.75
36,30.0,3253.966,34.75
37,12.1,3298.147,34.75
38,21.8,3293.999,34.75
39,23.2,3260.398,34.75
40,10.0,1498.222,34.75
41,8.0,1797.312,34.75
42,37.0,2329.016,34.75
43,10.9,3295.084,34.75
44,9.0,2460.563,34.75
45,9.9,3299.695,34.75
46,12.0,3297.842,34.75
47,22.8,3298.935,34.75
48,41.6,3258.347,34.75
49,59.0,3283.65,34.75
50,17.2,2467.206,34.75
51,16.8,2441.88,34.75
52,13.0,3296.25,34.75
53,11.0,3298.266,34.75
54,17.2,3281.936,34.75
55,16.8,3294.386,34.75
56,17.0,3301.119,34.75
57,8.9,2932.278,34.75
58,16.2,3296.727,34.75
59,6.1,2235.446,34.75
60,48.0,3299.783,34.75
61,12.0,2115.753,34.75
62,34.3,3262.521,34.75
63,14.0,3299.724,34.75
