Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,26.0,3281.493,34.75
1,52.0,2135.825,34.75
2,21.0,1871.552,34.75
3,22.2,1842.988,34.75
4,20.8,2359.374,34.75
5,22.0,2711.279,34.75
6,25.0,2680.598,34.75
7,17.0,2197.056,34.75
8,20.8,2218.953,34.75
9,33.7,3286.77,34.75
10,22.2,1831.135,34.75
11,19.2,2594.004,34.75
12,26.0,2588.267,34.75
13,22.2,1834.258,34.75
14,21.0,2174.447,34.75
15,20.2,2689.742,34.75
16,28.0,2630.394,34.75
17,21.0,3287.682,34.75
18,23.2,2126.046,34.75
19,19.0,2590.493,34.75
20,17.2,2529.317,34.75
21,12.1,3285.603,34.75
22,16.2,1849.618,34.75
23,18.8,3285.864,34.75
24,16.8,2184.613,34.75
25,65.0,2976.525,34.75
26,20.2,2425.082,34.75
27,22.2,2735.479,34.75
28,19.8,2921.563,34.75
29,19.8,1914.145,34.75
30,24.2,1980.125,34.75
31,16.0,3281.829,34.75
32,48.0,3286.043,34.75
33,28.3,2398.282,34.75
34,18.0,2232.152,34.75
35,23.0,1888.316,34.75
36,18.0,2348.84,34.75
37,17.0,2850.906,34.75
38,19.2,2848.205,34.75
39,20.2,1874.453,34.75
40,28.7,2087.185,34.75
41,81.6,3280.441,34.75
42,23.7,1875.93,34.75
43,23.0,2326.205,34.75
44,27.0,2749.748,34.75
45,26.3,1861.838,34.75
46,21.8,1975.435,34.75
47,17.8,2843.742,34.75
48,21.2,2497.791,34.75
49,61.0,3290.215,34.75
50,16.0,2388.934,34.75
51,24.5,2798.259,34.75
52,43.0,2526.108,34.75
53,75.8,3288.818,34.75
54,20.8,1875.34,34.75
55,44.0,3288.504,34.75
56,24.2,1995.721,34.75
57,17.0,2920.727,34.75
58,17.3,2348.186,34.75
59,17.3,2732.725,34.75
60,24.2,2994.763,34.75
61,18.0,2180.269,34.75
62,5.1,2220.277,34.75
63,50.0,3297.728,34.75
