Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,35.4,3300.191,34.375
1,8.0,1674.249,34.375
2,22.8,2411.707,34.375
3,23.8,3294.635,34.375
4,8.1,2325.707,34.375
5,32.3,3311.761,34.375
6,17.3,3291.838,34.375
7,5.2,2553.044,34.375
8,77.6,3298.593,34.375
9,14.7,2531.502,34.375
10,24.0,3304.923,34.375
11,25.0,1470.637,34.375
12,37.0,2515.652,34.375
13,16.0,1815.505,34.375
14,10.1,1939.98,34.375
15,9.9,2794.224,34.375
16,49.0,1502.906,34.375
17,5.1,1500.22,34.375
18,24.2,3299.976,34.375
19,22.0,1466.416,34.375
20,5.1,3309.003,34.375
21,22.2,3303.778,34.375
22,20.0,2296.776,34.375
23,5.0,2344.715,34.375
24,18.2,2397.877,34.375
25,20.0,3311.765,34.375
26,5.0,3317.862,34.375
27,52.0,3298.092,34.375
28,56.0,3290.086,34.375
29,4.0,3304.142,34.375
30,4.0,3264.827,34.375
31,5.0,3294.916,34.375
32,19.8,3001.152,34.375
33,24.8,3290.513,34.375
34,5.9,3297.623,34.375
35,23.8,3292.042,34.375
36,5.1,3311.741,34.375
37,4.0,3304.912,34.375
38,50.0,3276.419,34.375
39,23.8,3291.806,34.375
40,33.7,3289.008,34.375
41,16.0,3300.073,34.375
42,19.0,3299.568,34.375
43,3.0,1466.173,34.375
44,20.8,3305.38,34.375
45,5.0,1728.666,34.375
46,6.1,1923.117,34.375
47,5.0,2481.468,34.375
48,23.8,1499.85,34.375
49,5.1,1499.651,34.375
50,7.0,3299.97,34.375
51,23.8,1466.447,34.375
52,19.2,3290.9,34.375
53,23.2,3299.968,34.375
54,8.1,2202.456,34.375
55,21.0,3295.877,34.375
56,21.8,3295.101,34.375
57,7.1,3302.387,34.375
58,54.0,1699.641,34.375
59,19.0,3298.936,34.375
60,20.0,3288.332,34.375
61,23.0,3308.793,34.375
62,24.0,2148.146,34.375
63,20.2,3299.726,34.375
