Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,21.0,2616.62,36.1875
1,19.0,2534.807,36.1875
2,26.8,2599.062,36.1875
3,44.6,3212.729,36.1875
4,20.0,3183.666,36.1875
5,15.0,2936.83,36.1875
6,20.0,2828.407,36.1875
7,71.0,3073.872,36.1875
8,22.8,3084.859,36.1875
9,7.0,2887.074,36.1875
10,17.3,2601.549,36.1875
11,27.3,2742.211,36.1875
12,24.0,2921.117,36.1875
13,20.0,3034.501,36.1875
14,24.2,2720.239,36.1875
15,18.4,2528.822,36.1875
16,20.2,2599.642,36.1875
17,16.0,2416.35,36.1875
18,18.0,2549.292,36.1875
19,16.2,2507.295,36.1875
20,18.4,2665.118,36.1875
21,17.0,2846.702,36.1875
22,18.2,2776.836,36.1875
23,18.0,2821.793,36.1875
24,18.2,2890.287,36.1875
25,26.0,2983.261,36.1875
26,26.3,2734.701,36.1875
27,16.0,2708.105,36.1875
28,19.0,2559.066,36.1875
29,52.5,3211.511,36.1875
30,52.5,3141.05,36.1875
31,22.2,3081.527,36.1875
32,18.4,2625.991,36.1875
33,23.0,2589.262,36.1875
34,12.2,2491.736,36.1875
35,20.8,2968.873,36.1875
36,25.0,2747.819,36.1875
37,21.2,2801.449,36.1875
38,18.4,2711.297,36.1875
39,45.5,3047.097,36.1875
40,54.0,3071.016,36.1875
41,22.0,2799.511,36.1875
42,18.0,2812.53,36.1875
43,19.2,2965.924,36.1875
44,17.3,2820.95,36.1875
45,15.8,2835.7,36.1875
46,17.0,2730.768,36.1875
47,18.0,2513.305,36.1875
48,49.0,3167.258,36.1875
49,19.0,2355.295,36.1875
50,16.2,2443.456,36.1875
51,21.0,2544.963,36.1875
52,14.0,2878.988,36.1875
53,18.8,2602.042,36.1875
54,17.8,2606.818,36.1875
55,18.0,2930.029,36.1875
56,18.0,2768.75,36.1875
57,16.2,2617.929,36.1875
58,12.2,3135.47,36.1875
59,45.0,3009.058,36.1875
60,25.0,2717.592,36.1875
61,65.0,3260.628,36.1875
62,17.8,2935.644,36.1875
63,19.2,2766.339,36.1875
