Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,22.0,3300.079,35.0
1,28.3,1467.268,35.0
2,48.5,3300.042,35.0
3,28.6,3299.288,35.0
4,20.2,3297.14,35.0
5,25.0,3293.245,35.0
6,26.0,3319.368,35.0
7,44.0,3294.806,35.0
8,31.3,3252.293,35.0
9,20.0,3298.601,35.0
10,30.3,3314.798,35.0
11,23.0,3300.098,35.0
12,61.0,3300.063,35.0
13,40.4,3251.629,35.0
14,30.6,3256.81,35.0
15,28.3,3294.887,35.0
16,59.6,3292.354,35.0
17,24.0,2330.408,35.0
18,36.4,3291.995,35.0
19,28.0,3269.051,35.0
20,22.0,3299.751,35.0
21,25.3,2573.399,35.0
22,31.3,3311.601,35.0
23,28.0,3306.868,35.0
24,50.0,3289.622,35.0
25,31.4,2533.151,35.0
26,26.3,3308.78,35.0
27,26.0,3294.978,35.0
28,22.0,2203.742,35.0
29,31.6,3297.472,35.0
30,26.3,3299.531,35.0
31,22.0,3291.799,35.0
32,22.8,3300.08,35.0
33,29.0,1800.471,35.0
34,43.4,3300.082,35.0
35,45.5,3296.002,35.0
36,23.0,3294.641,35.0
37,23.8,3183.4,35.0
38,26.0,3294.442,35.0
39,27.0,3294.68,35.0
40,17.0,3300.016,35.0
41,25.0,2553.513,35.0
42,29.0,3300.079,35.0
43,27.0,3300.087,35.0
44,26.3,3300.08,35.0
45,21.0,3299.764,35.0
46,25.0,3295.865,35.0
47,20.0,3302.517,35.0
48,22.0,3283.911,35.0
49,29.0,3291.908,35.0
50,23.0,3291.31,35.0
51,19.2,2836.042,35.0
52,25.7,3292.621,35.0
53,51.0,3299.065,35.0
54,21.0,3300.083,35.0
55,25.0,3300.079,35.0
56,22.4,3293.707,35.0
57,25.7,2419.166,35.0
58,20.2,3304.019,35.0
59,28.4,3300.074,35.0
60,51.0,1875.317,35.0
61,20.8,3300.071,35.0
62,28.3,3299.918,35.0
63,80.0,3294.694,35.0
