Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,17.3,3299.702,34.875
1,22.0,2194.384,34.875
2,14.0,2235.997,34.875
3,19.2,3300.08,34.875
4,16.2,2644.319,34.875
5,18.8,3309.608,34.875
6,18.2,2392.644,34.875
7,17.2,2418.461,34.875
8,29.7,3276.073,34.875
9,78.6,2202.422,34.875
10,48.0,2329.41,34.875
11,20.2,2174.649,34.875
12,17.2,2394.721,34.875
13,14.4,2770.359,34.875
14,19.0,2201.709,34.875
15,19.0,3292.781,34.875
16,15.2,1789.602,34.875
17,15.0,3247.308,34.875
18,23.0,3305.183,34.875
19,25.0,3302.787,34.875
20,24.2,2358.824,34.875
21,21.2,2359.052,34.875
22,60.0,3248.773,34.875
23,14.1,2619.538,34.875
24,75.0,3254.677,34.875
25,17.2,2204.212,34.875
26,23.2,3248.171,34.875
27,21.4,3300.084,34.875
28,29.6,2188.428,34.875
29,41.4,3301.59,34.875
30,18.2,2350.326,34.875
31,23.2,2351.323,34.875
32,21.0,2836.252,34.875
33,15.8,2198.947,34.875
34,21.6,2222.091,34.875
35,18.0,3309.175,34.875
36,17.0,2220.489,34.875
37,19.4,3301.87,34.875
38,23.2,2755.059,34.875
39,17.2,2392.663,34.875
40,16.2,3301.477,34.875
41,24.2,2198.006,34.875
42,10.2,3286.822,34.875
43,16.0,1683.42,34.875
44,15.8,2394.621,34.875
45,14.9,2394.511,34.875
46,16.8,2337.001,34.875
47,62.0,3275.624,34.875
48,48.5,1939.386,34.875
49,62.6,3236.01,34.875
50,21.2,3298.597,34.875
51,18.0,3297.776,34.875
52,14.1,2503.178,34.875
53,20.2,2358.803,34.875
54,16.0,3268.167,34.875
55,21.2,2166.115,34.875
56,22.0,3310.516,34.875
57,20.2,2185.29,34.875
58,21.4,3287.429,34.875
59,19.0,3295.458,34.875
60,17.2,2188.296,34.875
61,11.2,3285.049,34.875
62,21.8,2350.18,34.875
63,16.8,2350.875,34.875
