Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,26.3,2528.192,34.875
1,24.2,3256.333,34.875
2,70.0,3258.299,34.875
3,46.0,3255.278,34.875
4,27.0,1697.002,34.875
5,24.5,1704.564,34.875
6,27.1,1714.812,34.875
7,20.4,1719.37,34.875
8,29.3,1714.782,34.875
9,24.0,1674.211,34.875
10,24.2,3308.908,34.875
11,25.3,1682.638,34.875
12,24.2,1699.297,34.875
13,28.0,2508.635,34.875
14,73.7,3261.595,34.875
15,42.4,2161.877,34.875
16,34.3,1509.893,34.875
17,29.0,3299.908,34.875
18,25.3,3297.603,34.875
19,24.2,3292.369,34.875
20,71.3,3299.886,34.875
21,16.0,3297.106,34.875
22,26.5,3300.055,34.875
23,27.0,2106.166,34.875
24,30.3,1631.804,34.875
25,20.2,2580.847,34.875
26,25.3,1733.417,34.875
27,74.0,3300.027,34.875
28,27.7,2408.723,34.875
29,38.8,3305.699,34.875
30,46.5,3310.723,34.875
31,25.5,1701.722,34.875
32,23.2,1658.364,34.875
33,24.2,2904.806,34.875
34,25.3,3287.622,34.875
35,28.3,3285.338,34.875
36,27.7,1686.111,34.875
37,27.0,2535.957,34.875
38,21.4,1701.622,34.875
39,25.3,2514.725,34.875
40,26.3,2489.139,34.875
41,23.0,2381.811,34.875
42,23.7,3258.078,34.875
43,33.0,1669.638,34.875
44,27.0,1687.868,34.875
45,25.0,1692.183,34.875
46,21.0,3255.352,34.875
47,30.0,2360.672,34.875
48,29.3,1684.181,34.875
49,27.0,3296.045,34.875
50,28.3,3307.928,34.875
51,25.3,3296.929,34.875
52,24.2,3302.039,34.875
53,27.0,3301.224,34.875
54,76.5,3296.303,34.875
55,28.0,3297.52,34.875
56,25.3,3298.953,34.875
57,27.7,2748.403,34.875
58,34.3,2300.982,34.875
59,31.3,3299.86,34.875
60,23.2,3295.698,34.875
61,24.2,3293.73,34.875
62,22.8,3288.364,34.875
63,24.2,1689.104,34.875
