Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,18.6,2958.396,35.75
1,18.0,2768.712,35.75
2,20.2,3042.771,35.75
3,67.7,3204.235,35.75
4,22.8,2624.674,35.75
5,22.0,2619.996,35.75
6,73.5,3170.103,35.75
7,22.2,2550.359,35.75
8,22.0,2761.725,35.75
9,19.2,2711.796,35.75
10,19.8,2654.725,35.75
11,19.0,2674.59,35.75
12,19.0,2717.019,35.75
13,16.0,2682.88,35.75
14,21.0,2744.888,35.75
15,29.3,2842.675,35.75
16,27.3,2840.301,35.75
17,22.2,2485.402,35.75
18,57.8,2915.009,35.75
19,17.0,2962.566,35.75
20,25.3,3064.167,35.75
21,29.0,2822.21,35.75
22,24.0,3043.004,35.75
23,15.8,2654.962,35.75
24,18.2,2877.58,35.75
25,21.8,2655.794,35.75
26,49.0,2923.426,35.75
27,46.9,2914.303,35.75
28,43.0,3236.713,35.75
29,25.0,2779.876,35.75
30,14.1,2828.978,35.75
31,16.2,2755.524,35.75
32,19.8,2535.758,35.75
33,19.0,2452.835,35.75
34,26.0,2589.645,35.75
35,41.0,3141.456,35.75
36,23.8,2528.867,35.75
37,17.0,2704.943,35.75
38,37.3,3183.994,35.75
39,30.4,2570.064,35.75
40,63.7,3031.276,35.75
41,19.0,2641.062,35.75
42,18.0,2929.231,35.75
43,19.2,2655.101,35.75
44,16.0,2757.478,35.75
45,19.6,2669.741,35.75
46,15.0,2655.088,35.75
47,18.6,2749.421,35.75
48,64.6,2900.496,35.75
49,21.2,2459.872,35.75
50,23.0,2847.081,35.75
51,26.0,2678.274,35.75
52,24.0,2985.809,35.75
53,21.2,2692.672,35.75
54,18.0,2874.801,35.75
55,22.0,2677.641,35.75
56,16.2,2749.524,35.75
57,29.3,2741.426,35.75
58,22.0,3097.813,35.75
59,21.2,2892.442,35.75
60,20.0,3141.652,35.75
61,20.2,2799.134,35.75
62,22.0,2794.671,35.75
63,27.0,3122.837,35.75
