Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,20.0,1767.367,33.875
1,4.1,1747.448,33.875
2,19.8,1383.496,33.875
3,18.0,2251.98,33.875
4,17.2,1667.117,33.875
5,4.0,1653.157,33.875
6,1.0,2075.742,33.875
7,18.2,1633.711,33.875
8,8.0,1325.29,33.875
9,18.2,1669.449,33.875
10,93.1,2390.225,33.875
11,13.9,1725.326,33.875
12,19.0,1719.167,33.875
13,1.0,3293.893,33.875
14,18.0,1823.951,33.875
15,1.0,1372.988,33.875
16,13.7,1499.935,33.875
17,44.0,1496.259,33.875
18,19.8,1466.073,33.875
19,9.1,3300.046,33.875
20,29.0,2643.266,33.875
21,11.0,2030.18,33.875
22,20.0,2755.485,33.875
23,1.0,3298.785,33.875
24,49.0,3288.242,33.875
25,10.0,2823.486,33.875
26,11.0,2199.07,33.875
27,16.0,1414.787,33.875
28,78.8,1950.911,33.875
29,18.0,2134.859,33.875
30,17.2,2393.082,33.875
31,2.0,1627.071,33.875
32,2.0,3295.963,33.875
33,1.0,2105.04,33.875
34,1.0,2241.44,33.875
35,20.2,2220.698,33.875
36,0.0,2338.357,33.875
37,0.0,1644.042,33.875
38,19.0,2582.23,33.875
39,18.0,1984.141,33.875
40,18.8,1375.922,33.875
41,18.0,2129.312,33.875
42,14.0,3292.744,33.875
43,2.0,2206.595,33.875
44,19.0,2008.623,33.875
45,14.7,2684.983,33.875
46,18.2,2158.019,33.875
47,18.0,1377.389,33.875
48,22.0,1497.62,33.875
49,2.0,1499.597,33.875
50,1.0,1464.201,33.875
51,37.6,3287.692,33.875
52,2.0,3108.261,33.875
53,1.0,1933.883,33.875
54,1.0,3291.173,33.875
55,18.2,3029.118,33.875
56,8.9,3290.084,33.875
57,1.0,3076.549,33.875
58,10.9,2385.126,33.875
59,53.5,1366.325,33.875
60,16.0,2399.889,33.875
61,1.0,1773.887,33.875
62,2.0,2356.255,33.875
63,0.0,2091.775,33.875
