Núcleo lógico,Uso (%),Frecuencia (MHz),Temperatura (°C)
0,28.0,3308.002,35.9375
1,21.8,3308.349,35.9375
2,23.8,3300.084,35.9375
3,6.0,3308.418,35.9375
4,90.9,3251.092,35.9375
5,10.0,3306.321,35.9375
6,12.9,3302.13,35.9375
7,5.9,2781.868,35.9375
8,93.1,2362.482,35.9375
9,6.9,2064.786,35.9375
10,23.8,3309.283,35.9375
11,20.8,3300.343,35.9375
12,28.0,3300.799,35.9375
13,2.0,3306.42,35.9375
14,19.0,3308.87,35.9375
15,24.5,3305.469,35.9375
16,17.0,1474.113,35.9375
17,40.8,3310.887,35.9375
18,27.3,3271.45,35.9375
19,14.0,3315.627,35.9375
20,16.8,3314.695,35.9375
21,21.0,3296.294,35.9375
22,16.0,3303.352,35.9375
23,44.0,3277.806,35.9375
24,23.0,3290.495,35.9375
25,54.5,3286.098,35.9375
26,3.0,1466.702,35.9375
27,60.0,2685.266,35.9375
28,49.5,3286.75,35.9375
29,3.0,1465.086,35.9375
30,14.9,3293.365,35.9375
31,24.5,3295.736,35.9375
32,24.3,3295.602,35.9375
33,2.0,3293.218,35.9375
34,23.8,3303.226,35.9375
35,23.8,3295.206,35.9375
36,18.0,3300.553,35.9375
37,20.8,3301.275,35.9375
38,18.0,3295.157,35.9375
39,22.8,3270.756,35.9375
40,18.8,2687.265,35.9375
41,14.0,1930.46,35.9375
42,3.0,3300.084,35.9375
43,0.0,3298.737,35.9375
44,22.8,3290.726,35.9375
45,23.8,3285.269,35.9375
46,24.0,3295.058,35.9375
47,6.1,3298.794,35.9375
48,1.0,1465.352,35.9375
49,2.0,1766.629,35.9375
50,2.0,3297.031,35.9375
51,1.0,1765.002,35.9375
52,23.8,3292.575,35.9375
53,6.0,3300.501,35.9375
54,5.0,3304.143,35.9375
55,5.0,3302.941,35.9375
56,1.0,3299.802,35.9375
57,21.0,3300.465,35.9375
58,7.0,1258.028,35.9375
59,1.0,3296.68,35.9375
60,1.0,3299.44,35.9375
61,2.0,1465.821,35.9375
62,23.8,3297.719,35.9375
63,18.8,3284.025,35.9375
